"MatchID","LeagueCode","Result","ModelPick","MarketFavorite","Correct","ActualUpset","AIScore","Confidence","UpsetIndex"
"FAI-ae3ff921d2f9c5a878ca549e","FD_G1","H","H","H","True","False","55.0891685102439","54","44.9108314897561"
"FAI-bf2095e6881f4a3cce717f27","FD_G1","H","H","H","True","False","43.6681445571006","25","56.3318554428994"
"FAI-20a3736b8207bdb430fa1849","FD_G1","A","H","H","False","True","41.5519571131312","18","58.4480428868688"
"FAI-734bcd28e85e9e37199f2645","FD_G1","D","A","H","False","True","53.5579143334413","50","81.977798097596"
"FAI-f01908d896f0d31c1adcb769","FD_G1","D","H","H","False","True","58.0742510489717","64","41.9257489510283"
"FAI-b6e3244c393b0f2396a3efae","FD_G1","H","H","H","True","False","67.8106819231629","87","32.1893180768371"
"FAI-46a3f98c0d98da0f369e181e","FD_G1","D","H","H","False","True","36.9330307860682","11","63.0669692139318"
"FAI-dd1cae846ec50df6233110f6","FD_G1","H","H","H","True","False","43.2957272627186","28","56.7042727372814"
"FAI-13a9a8d4654847da6bec9b46","FD_G1","A","A","A","True","False","47.6388507670112","41","52.3611492329888"
"FAI-5c68fe39787cd0e460271cad","FD_G1","A","H","H","False","True","44.0463509565956","32","55.9536490434044"
"FAI-66f5a81ebb2e2a20525a1fce","FD_G1","D","A","H","False","True","37.6075728762683","6","65.5510816505642"
"FAI-3175b1fe07c3d256136747a6","FD_G1","H","H","H","True","False","46.1580172163769","30","53.8419827836231"
"FAI-a31822dd28b0bf3c6ae55eae","FD_G1","H","H","H","True","False","67.1920208231773","89","32.8079791768227"
"FAI-9ca24ea3884b531ae6ba7041","FD_G1","A","A","A","True","False","64.7718893909541","80","35.2281106090459"
"FAI-e8834557bdd26a8b926104a6","FD_G1","D","H","H","False","True","56.6726401939662","60","43.3273598060338"
"FAI-e1bea394adff5c36f4b004f5","FD_G1","A","A","H","True","True","33.9835151766964","1","66.3945698094482"
"FAI-a26500c2a18913097bc36160","FD_G1","D","A","A","False","True","56.9646462260769","56","43.0353537739231"
"FAI-2c7a87ff1736f1d42ac2391f","FD_G1","A","A","H","True","True","42.5281776346682","27","70.8865235880836"
"FAI-9f986dde8c65527df648002c","FD_G1","D","A","H","False","True","35.8333413283485","4","66.2071259612698"
"FAI-025080ca0ea222a23ceacdbe","FD_G1","H","H","H","True","False","59.3061435897392","64","40.6938564102608"
"FAI-c054b43df823cc78ea68bc88","FD_G1","H","H","H","True","False","42.1631794172259","26","57.8368205827741"
"FAI-b3238faa538219df99fe0d85","FD_G1","H","H","H","True","False","63.7095001944367","73","36.2904998055633"
"FAI-445d25c822f8ae4117bff61b","FD_G1","A","A","H","True","True","42.4577309138058","26","72.1562607827138"
"FAI-2b5c54790afccd5b0d7bcc95","FD_G1","H","A","A","False","True","48.1073966942847","34","51.8926033057153"
"FAI-1f545f1a69ee22a1015adfc8","FD_G1","D","H","H","False","True","44.4554451436178","30","55.5445548563822"
"FAI-8780676a7f82132fb565716d","FD_G1","H","A","A","False","True","55.3495382701264","53","44.6504617298736"
"FAI-0e3c467f26297acd5c3d9223","FD_G1","H","H","H","True","False","63.4347315347486","77","36.5652684652514"
"FAI-af724c4576c40af0eb8387fc","FD_G1","D","H","A","False","True","38.5615672411219","15","69.482990133373"
"FAI-bfa29ea2496d7d2f752f7fb8","FD_G1","D","H","H","False","True","44.8210312596141","32","55.1789687403859"
